Lib,Lab,Green,ONP,IND,Lib2,Lab2
0.4144,0.3334,0.104,0.0308,0.1174,0.5153,0.4847
0.4144,0.3334,0.104,0.0308,0.1174,0.5153,0.4847
0.4144,0.3334,0.104,0.0308,0.1174,0.5153,0.4847
0.4144,0.3334,0.104,0.0308,0.1174,0.5153,0.4847
0.4144,0.3334,0.104,0.0308,0.1174,0.5153,0.4847
0.4144,0.3334,0.104,0.0308,0.1174,0.5153,0.4847
0.4144,0.3334,0.104,0.0308,0.1174,0.5153,0.4847
0.4144,0.3334,0.104,0.0308,0.1174,0.5153,0.4847
0.4144,0.3334,0.104,0.0308,0.1174,0.5153,0.4847
0.4144,0.3334,0.104,0.0308,0.1174,0.5153,0.4847
0.4144,0.3334,0.104,0.0308,0.1174,0.5153,0.4847
0.4144,0.3334,0.104,0.0308,0.1174,0.5153,0.4847
0.4144,0.3334,0.104,0.0308,0.1174,0.5153,0.4847
0.4144,0.3334,0.104,0.0308,0.1174,0.5153,0.4847
0.4144,0.3334,0.104,0.0308,0.1174,0.5153,0.4847
0.4144,0.3334,0.104,0.0308,0.1174,0.5153,0.4847
0.4144,0.3334,0.104,0.0308,0.1174,0.5153,0.4847
0.4144,0.3334,0.104,0.0308,0.1174,0.5153,0.4847
0.4144,0.3334,0.104,0.0308,0.1174,0.5153,0.4847
0.4144,0.3334,0.104,0.0308,0.1174,0.5153,0.4847
0.4144,0.3334,0.104,0.0308,0.1174,0.5153,0.4847
0.4144,0.3334,0.104,0.0308,0.1174,0.5153,0.4847
0.4144,0.3334,0.104,0.0308,0.1174,0.5153,0.4847
0.4144,0.3334,0.104,0.0308,0.1174,0.5153,0.4847
0.4144,0.3334,0.104,0.0308,0.1174,0.5153,0.4847
0.4144,0.3334,0.104,0.0308,0.1174,0.5153,0.4847
0.4144,0.3334,0.104,0.0308,0.1174,0.5153,0.4847
0.4144,0.3334,0.104,0.0308,0.1174,0.5153,0.4847
0.4144,0.3334,0.104,0.0308,0.1174,0.5153,0.4847
0.4144,0.3334,0.104,0.0308,0.1174,0.5153,0.4847
0.4144,0.3334,0.104,0.0308,0.1174,0.5153,0.4847
0.4144,0.3334,0.104,0.0308,0.1174,0.5153,0.4847
0.4144,0.3334,0.104,0.0308,0.1174,0.5153,0.4847
0.4144,0.3334,0.104,0.0308,0.1174,0.5153,0.4847
0.4144,0.3334,0.104,0.0308,0.1174,0.5153,0.4847
0.4144,0.3334,0.104,0.0308,0.1174,0.5153,0.4847
0.4144,0.3334,0.104,0.0308,0.1174,0.5153,0.4847
0.4144,0.3334,0.104,0.0308,0.1174,0.5153,0.4847
0.4144,0.3334,0.104,0.0308,0.1174,0.5153,0.4847
0.4144,0.3334,0.104,0.0308,0.1174,0.5153,0.4847
0.4144,0.3334,0.104,0.0308,0.1174,0.5153,0.4847
0.4144,0.3334,0.104,0.0308,0.1174,0.5153,0.4847
0.4144,0.3334,0.104,0.0308,0.1174,0.5153,0.4847
0.4144,0.3334,0.104,0.0308,0.1174,0.5153,0.4847
0.4144,0.3334,0.104,0.0308,0.1174,0.5153,0.4847
0.4144,0.3334,0.104,0.0308,0.1174,0.5153,0.4847
0.4144,0.3334,0.104,0.0308,0.1174,0.5153,0.4847
0.4144,0.3334,0.104,0.0308,0.1174,0.5153,0.4847
0.4144,0.3334,0.104,0.0308,0.1174,0.5153,0.4847
0.4144,0.3334,0.104,0.0308,0.1174,0.5153,0.4847
0.4144,0.3334,0.104,0.0308,0.1174,0.5153,0.4847
0.4144,0.3334,0.104,0.0308,0.1174,0.5153,0.4847
0.4144,0.3334,0.104,0.0308,0.1174,0.5153,0.4847
0.4144,0.3334,0.104,0.0308,0.1174,0.5153,0.4847
0.4144,0.3334,0.104,0.0308,0.1174,0.5153,0.4847
0.4144,0.3334,0.104,0.0308,0.1174,0.5153,0.4847
0.4144,0.3334,0.104,0.0308,0.1174,0.5153,0.4847
0.4144,0.3334,0.104,0.0308,0.1174,0.5153,0.4847
0.4144,0.3334,0.104,0.0308,0.1174,0.5153,0.4847
0.4144,0.3334,0.104,0.0308,0.1174,0.5153,0.4847
0.4144,0.3334,0.104,0.0308,0.1174,0.5153,0.4847
0.4144,0.3334,0.104,0.0308,0.1174,0.5153,0.4847
0.4144,0.3334,0.104,0.0308,0.1174,0.5153,0.4847
0.4144,0.3334,0.104,0.0308,0.1174,0.5153,0.4847
0.4144,0.3334,0.104,0.0308,0.1174,0.5153,0.4847
0.4144,0.3334,0.104,0.0308,0.1174,0.5153,0.4847
0.4144,0.3334,0.104,0.0308,0.1174,0.5153,0.4847
0.4144,0.3334,0.104,0.0308,0.1174,0.5153,0.4847
0.4144,0.3334,0.104,0.0308,0.1174,0.5153,0.4847
0.4144,0.3334,0.104,0.0308,0.1174,0.5153,0.4847
0.4144,0.3334,0.104,0.0308,0.1174,0.5153,0.4847
0.4144,0.3334,0.104,0.0308,0.1174,0.5153,0.4847
0.4144,0.3334,0.104,0.0308,0.1174,0.5153,0.4847
0.4144,0.3334,0.104,0.0308,0.1174,0.5153,0.4847
0.4144,0.3334,0.104,0.0308,0.1174,0.5153,0.4847
0.4144,0.3334,0.104,0.0308,0.1174,0.5153,0.4847
0.4144,0.3334,0.104,0.0308,0.1174,0.5153,0.4847
0.4144,0.3334,0.104,0.0308,0.1174,0.5153,0.4847
0.4144,0.3334,0.104,0.0308,0.1174,0.5153,0.4847
0.4144,0.3334,0.104,0.0308,0.1174,0.5153,0.4847
0.4144,0.3334,0.104,0.0308,0.1174,0.5153,0.4847
0.4144,0.3334,0.104,0.0308,0.1174,0.5153,0.4847
0.4144,0.3334,0.104,0.0308,0.1174,0.5153,0.4847
0.4144,0.3334,0.104,0.0308,0.1174,0.5153,0.4847
0.4144,0.3334,0.104,0.0308,0.1174,0.5153,0.4847
0.4144,0.3334,0.104,0.0308,0.1174,0.5153,0.4847
0.4144,0.3334,0.104,0.0308,0.1174,0.5153,0.4847
0.4144,0.3334,0.104,0.0308,0.1174,0.5153,0.4847
0.4144,0.3334,0.104,0.0308,0.1174,0.5153,0.4847
0.4144,0.3334,0.104,0.0308,0.1174,0.5153,0.4847
0.4144,0.3334,0.104,0.0308,0.1174,0.5153,0.4847
0.4144,0.3334,0.104,0.0308,0.1174,0.5153,0.4847
0.4144,0.3334,0.104,0.0308,0.1174,0.5153,0.4847
0.4144,0.3334,0.104,0.0308,0.1174,0.5153,0.4847
0.4144,0.3334,0.104,0.0308,0.1174,0.5153,0.4847
0.4144,0.3334,0.104,0.0308,0.1174,0.5153,0.4847
0.4144,0.3334,0.104,0.0308,0.1174,0.5153,0.4847
0.4144,0.3334,0.104,0.0308,0.1174,0.5153,0.4847
0.4144,0.3334,0.104,0.0308,0.1174,0.5153,0.4847
0.4144,0.3334,0.104,0.0308,0.1174,0.5153,0.4847
0.4144,0.3334,0.104,0.0308,0.1174,0.5153,0.4847
0.4144,0.3334,0.104,0.0308,0.1174,0.5153,0.4847
0.4144,0.3334,0.104,0.0308,0.1174,0.5153,0.4847
0.4144,0.3334,0.104,0.0308,0.1174,0.5153,0.4847
0.4144,0.3334,0.104,0.0308,0.1174,0.5153,0.4847
0.4144,0.3334,0.104,0.0308,0.1174,0.5153,0.4847
0.4144,0.3334,0.104,0.0308,0.1174,0.5153,0.4847
0.4144,0.3334,0.104,0.0308,0.1174,0.5153,0.4847
0.4144,0.3334,0.104,0.0308,0.1174,0.5153,0.4847
0.4144,0.3334,0.104,0.0308,0.1174,0.5153,0.4847
0.4144,0.3334,0.104,0.0308,0.1174,0.5153,0.4847
0.4144,0.3334,0.104,0.0308,0.1174,0.5153,0.4847
0.4144,0.3334,0.104,0.0308,0.1174,0.5153,0.4847
0.4144,0.3334,0.104,0.0308,0.1174,0.5153,0.4847
0.4144,0.3334,0.104,0.0308,0.1174,0.5153,0.4847
0.4144,0.3334,0.104,0.0308,0.1174,0.5153,0.4847
0.4144,0.3334,0.104,0.0308,0.1174,0.5153,0.4847
0.4144,0.3334,0.104,0.0308,0.1174,0.5153,0.4847
0.4144,0.3334,0.104,0.0308,0.1174,0.5153,0.4847
